names,scores,method,logfoldchanges,pvals,pvals_adj
gpa33.L,13.51343,wilcoxon,2.6726532,1.3030716603627667e-41,2.7578768328550233e-39
junb.L,13.490766,wilcoxon,2.3115797,1.7724975346782986e-41,3.726380650405343e-39
col5a3.like.L,13.441252,wilcoxon,3.313086,3.465254150610484e-41,7.236873486059709e-39
cpa6.S,13.437879,wilcoxon,5.4847283,3.6268696450241053e-41,7.524561464199682e-39
dlx3.L,13.408712,wilcoxon,3.4100618,5.376415246416192e-41,1.1081389202335596e-38
galnt3.S,13.405565,wilcoxon,4.205459,5.60942969209755e-41,1.1486582164954301e-38
fgf7.S,13.400347,wilcoxon,6.21689,6.01811217738459e-41,1.224394629121439e-38
Xelaev18035740m.g,13.376481,wilcoxon,2.379403,8.298450749860779e-41,1.6775105410055107e-38
plk2.L,13.373143,wilcoxon,3.3612998,8.679370665901971e-41,1.7433372863007557e-38
Xelaev18014918m.g,13.3380995,wilcoxon,2.4133368,1.3895747525395575e-40,2.77343290008449e-38
tp73.L,13.334084,wilcoxon,4.8317456,1.4664511546692768e-40,2.9084614567607324e-38
jag1.L,13.248847,wilcoxon,4.9670043,4.581881069891375e-40,9.030601221189032e-38
anxa7.L,13.226934,wilcoxon,2.0561292,6.133875144413652e-40,1.2014394576340652e-37
Xelaev18045052m.g,13.191781,wilcoxon,2.7208955,9.784549999959226e-40,1.9011741876856973e-37
